Grid World GFlowNet Results
Timestamp: 2025-07-24_22-23-40
========================================
📊 Evaluation Results:
   Successful evaluations: 50/50
   Mean Reward: 0.3
   High Reward (≥5.0) Rate: 0.0% (0/50)
   Max Reward (≥10.0) Rate: 2.0% (1/50)

📋 Sample Trajectories:
   1. (1,1) → (2,1) → (1,1) → (2,1) → (1,1) → (2,1) → (2,1) (Reward: 0.1)
   2. (1,1) → (2,1) → (1,1) → (1,2) → (1,3) → (1,4) → (1,4) (Reward: 0.1)
   3. (1,1) → (2,1) → (2,1) (Reward: 0.1)

📈 Reward Distribution:
   Reward 0.1: 49 samples (default terminal)
   Reward 5.0: 0 samples (positions (1,5) and (5,1))
   Reward 10.0: 1 samples (position (3,3))
   Other: 0 samples


Training Data:
Iteration 232: Loss=7.473417, Mean Reward=1.0249997, High Rewards=4, Successful=32
Iteration 233: Loss=6.189504, Mean Reward=0.40625006, High Rewards=2, Successful=32
Iteration 234: Loss=9.562123, Mean Reward=0.71562517, High Rewards=3, Successful=32
Iteration 235: Loss=4.9321094, Mean Reward=0.56249994, High Rewards=2, Successful=32
Iteration 236: Loss=7.7820263, Mean Reward=0.56250024, High Rewards=2, Successful=32
Iteration 237: Loss=7.591377, Mean Reward=1.178125, High Rewards=5, Successful=32
Iteration 238: Loss=6.3201227, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 239: Loss=7.980409, Mean Reward=1.1781249, High Rewards=5, Successful=32
Iteration 240: Loss=8.738058, Mean Reward=0.40625, High Rewards=2, Successful=32
Iteration 241: Loss=6.312857, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 242: Loss=9.239462, Mean Reward=0.71250015, High Rewards=4, Successful=32
Iteration 243: Loss=12.247861, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 244: Loss=8.067202, Mean Reward=0.71562505, High Rewards=3, Successful=32
Iteration 245: Loss=7.3099303, Mean Reward=0.4062501, High Rewards=2, Successful=32
Iteration 246: Loss=12.220395, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 247: Loss=4.6169915, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 248: Loss=7.4229164, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 249: Loss=5.818563, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 250: Loss=10.761518, Mean Reward=0.40625, High Rewards=2, Successful=32
Iteration 251: Loss=7.123167, Mean Reward=0.71562517, High Rewards=3, Successful=32
Iteration 252: Loss=10.505292, Mean Reward=0.7156251, High Rewards=3, Successful=32
Iteration 253: Loss=6.127737, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 254: Loss=5.136211, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 255: Loss=8.269136, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 256: Loss=8.1114235, Mean Reward=0.5593751, High Rewards=3, Successful=32
Iteration 257: Loss=9.701151, Mean Reward=1.1781249, High Rewards=5, Successful=32
Iteration 258: Loss=8.858015, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 259: Loss=9.660815, Mean Reward=0.7156251, High Rewards=3, Successful=32
Iteration 260: Loss=10.536182, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 261: Loss=7.4693456, Mean Reward=0.4093752, High Rewards=1, Successful=32
Iteration 262: Loss=10.041666, Mean Reward=0.40625018, High Rewards=2, Successful=32
Iteration 263: Loss=7.1827173, Mean Reward=0.4093752, High Rewards=1, Successful=32
Iteration 264: Loss=9.6937275, Mean Reward=0.87187517, High Rewards=3, Successful=32
Iteration 265: Loss=9.527498, Mean Reward=1.1781249, High Rewards=5, Successful=32
Iteration 266: Loss=9.0739565, Mean Reward=0.55937517, High Rewards=3, Successful=32
Iteration 267: Loss=9.050642, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 268: Loss=7.8951774, Mean Reward=0.25312495, High Rewards=1, Successful=32
Iteration 269: Loss=7.797762, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 270: Loss=4.993837, Mean Reward=0.40625018, High Rewards=2, Successful=32
Iteration 271: Loss=7.332928, Mean Reward=0.40625015, High Rewards=2, Successful=32
Iteration 272: Loss=6.299103, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 273: Loss=5.9769945, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 274: Loss=5.995274, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 275: Loss=9.2352295, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 276: Loss=10.617031, Mean Reward=0.7156251, High Rewards=3, Successful=32
Iteration 277: Loss=8.846491, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 278: Loss=10.2726755, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 279: Loss=9.132131, Mean Reward=1.0249996, High Rewards=4, Successful=32
Iteration 280: Loss=6.9316216, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 281: Loss=7.883609, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 282: Loss=10.988669, Mean Reward=1.0218751, High Rewards=5, Successful=32
Iteration 283: Loss=6.3903556, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 284: Loss=5.512259, Mean Reward=0.099999964, High Rewards=0, Successful=32
Iteration 285: Loss=7.708525, Mean Reward=0.40625003, High Rewards=2, Successful=32
Iteration 286: Loss=7.026424, Mean Reward=0.25312498, High Rewards=1, Successful=32
Iteration 287: Loss=9.973476, Mean Reward=0.5625001, High Rewards=2, Successful=32
Iteration 288: Loss=5.8505573, Mean Reward=0.55937517, High Rewards=3, Successful=32
